HOLE_ID,X_MGA,Y_MGA,Z_MGA,DEPTH,DATASET,PRE_COLLAR,RC_DEPTH,GRID_NAME,START_DATE,FINISH_DAT,PROSPECT,LOCATION,COLLAR_COM,HOLE_TYPE,HOLE_SIZE,HOLE_PURPO,TENMENT_ID,NATIVE_TIT,LOCATION_S,CONTRACTOR,COMPANY,PROGRAM_NA,GEOLOGIST,LOGGED_BY,DRILLING_S,EQUIPMENT_,GROUTED,MINING_LEV,PLANNED_DE,PLANNED_AZ,PLANNED_DI,TENEMENT_I
C2079ND26,371847.0,7750232.0,288.0,85.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2079ND32,371847.0,7750232.0,284.9,122.2,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2080NEI09,371813.0,7750248.0,201.6,121.3000031,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C26,371479.0,7750434.0,328.38,8.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C27,371579.0,7750341.0,327.1,3.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C28,371630.0,7750334.0,327.9,7.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C29,371674.0,7750309.0,327.23,4.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C30,371784.0,7750295.0,326.0,4.5,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C31,371831.0,7750287.0,325.5,3.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C32,371842.0,7750284.0,325.4,4.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C33,371858.0,7750286.0,325.3,6.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C34,371870.0,7750282.0,325.2,6.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C37,371549.0,7750391.0,328.37,6.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
C38,371565.0,7750356.0,328.07,9.0,THALANGA,,,MGA_94_55,,,WEST,,,,,,ML1392,N,,,,,,,,,,,,,,UNK
E3140SWD25,372076.0,7750254.0,281.2,93.2,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3140SWH00,372076.0,7750254.0,282.0,72.0,THALANGA,,,MGA_94_55,,,EAST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3142SD14,372077.0,7750254.0,281.3,106.900002,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3142SI10,372077.0,7750254.0,282.2,86.30000305175781,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3144SED10,372077.0,7750254.0,281.5,104.0,THALANGA,,,MGA_94_55,,,EAST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3144SED42,372077.0,7750254.0,281.2,129.0,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3148SD08,372129.0,7750283.0,274.18,115.0,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3150SED13,372129.0,7750283.0,273.88,109.6,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3150SED24,372129.0,7750283.0,273.88,119.5,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3150SED36,372129.0,7750283.0,273.73,132.5,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3152SWD53,372195.0,7750331.0,263.5,181.5,THALANGA,,,MGA_94_55,,,EAST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3154SWD18,372197.0,7750330.0,263.1,129.0,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3156SD30,372197.0,7750330.0,263.1,157.60000610351562,THALANGA,,,MGA_94_55,,,VOM,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3156SD50,372198.0,7750330.0,264.7,95.3000030517578,THALANGA,,,MGA_94_55,,,EAST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
E3156SD52,372197.0,7750330.0,263.85,188.8000031,THALANGA,,,MGA_94_55,,,EAST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
